,title_id,director
0,269880,Michael Bay
0,60029167,Michael Bay
0,60020891,Ted Demme
0,347365,Bernard Rose
0,60003242,McG
0,60027726,McG
0,81166946,Lee Yoon-jung
0,70023961,Paul Haggis
0,60027716,Troy Miller
0,70287957,Dave Green
0,81168345,Wojciech Marczewski
0,60020892,Andrzej Bartkowiak
0,81164752,Roy Poortmans
0,60028097,Brian Robbins
0,70065112,Mark Helfrich
0,70083108,Jon Hurwitz
1,70083108,Hayden Schlossberg
0,70184050,Bille Woodruff
0,81168347,Janusz Majewski
0,81003460,Alex Merkin
0,81168348,Janusz Majewski
0,70095135,Alex Proyas
0,81191254,Vrinda Samartha
0,81168340,Jacek Koprowicz
0,60023597,Barry Sonnenfeld
0,81002876,Nicholaus Goossen
0,70058017,Scott Hicks
0,70058024,Steven Soderbergh
0,70011211,Steven Soderbergh
0,70271599,Morgan Spurlock
0,70020699,Martin Scorsese
0,60003540,Stig Bergqvist
1,60003540,Paul Demeyer
0,1181550,Wes Craven
0,70170051,Asif Kapadia
0,70021630,Robert Rodriguez
1,70021630,Frank Miller
0,81043753,Dorian Fernández-Moris
0,60001761,Jeannot Szwarc
0,70041963,Bryan Singer
0,70058025,Ash Brannon
1,70058025,Chris Buck
0,70128696,Andy Tennant
0,70077542,Rob Reiner
0,81168342,Marek Piwowski
0,81165772,Kunle Afolayan
0,510854,Brian Levant
0,60000921,Brian Levant
0,81168343,Stanisław Różewicz
0,70044605,Gabriele Muccino
0,18021979,Igor Kovalyov
1,18021979,Norton Virgien
0,81168344,Krzysztof Zanussi
0,70020750,Noah Baumbach
0,70105596,Robert Schwentke
0,60037022,Danny Boyle
0,60034571,Wolfgang Petersen
0,70053456,Paul Feig
0,80173150,Alex Smith
1,80173150,Andrew J. Smith
0,81168341,Antoni Krauze
0,81168346,Stanisław Różewicz
0,80137461,Simranjit Singh Hundal
0,81012857,Justin G. Dyck
0,70123116,Ram Gopal Varma
0,80190101,N. Linguswamy
0,81024712,Deep Joshi
0,70112494,Antoine Fuqua
0,80215922,John Curran
0,70113306,Rakeysh Omprakash Mehra
0,70113305,Anurag Kashyap
0,80032472,Manjeet Maan
0,81024703,Shagufta Rafique
0,70181653,Shakun Batra
0,80048200,Andrew Renzi
0,81025884,Tinu Pappachan
0,80032474,Amitoj Mann
0,80032476,Amarpreet G S Chabbra
0,70127589,Paresh Mokashi
0,80104130,Anurag Basu
0,80032473,Rohit Jugraj
0,70090035,Ashutosh Gowariker
0,81024713,Atharv Baluja
0,70117268,Vishal Bhardwaj
0,70211216,Leslie Small
1,70211216,Tim Story
0,70140322,Shannon Hartman
0,81024696,Rohit Jugraj
0,70303428,Shashanka Ghosh
0,81012407,Steve Greenwood
0,70125882,Puneet Sira
0,70101039,Aziz Mirza
0,70123121,Renzil D'Silva
0,80152182,Smeep Kang
0,70229042,Sameer Sharma
0,70042756,Chandan Arora
0,80187618,Baljit Singh Deo
0,81024704,Amitoj Mann
0,80221498,Jennifer Peedom
0,70229047,Mysskin
0,70229555,Rajan Madhav
0,70213515,Raaghav Dar
0,81018563,Ishi Rudell
0,81018565,Ishi Rudell
0,70114948,David Lee Miller
0,80190103,Thiru
0,81024729,Amit Saxena
0,80032477,Pankaj Batra
0,81024711,Jaivi Dhanda
0,81025908,Suman Ghosh
0,70303495,Kabir Khan
0,70303429,Akshay Akkineni
0,80084768,Nidhi Sharma
0,70096752,Mastan Alibhai Burmawalla
1,70096752,Abbas Alibhai Burmawalla
0,70229046,Abbas Alibhai Burmawalla
1,70229046,Mastan Alibhai Burmawalla
0,80084767,Vipin Parashar
0,81024701,Vikram Pradhan
0,70229048,Vijay
0,80995576,Eduardo Chauvet
0,70292836,Sundar C.
0,80141767,Sartaj Singh Pannu
0,70139542,Vikramaditya Motwane
0,70039175,James McTeigue
0,70225597,N. Linguswamy
0,70123119,Ayaan Mukherji
0,70150437,Sidharth Malhotra
0,80084667,Saket Behl
0,70099118,Kevin Smith
0,81024705,Anjum Shahzad
0,80198771,Geun-hyun Cho
0,80062096,Christian Desmares
1,80062096,Franck Ekinci
0,70291096,Kyran Kelly
0,70130483,Adam Wood
0,80031038,Zeke Norton
0,80065930,Karen J. Lloyd
0,80112370,Andrew Tan
1,80112370,Michael Goguen
0,70165189,William Lau
0,70197459,Ezekiel Norton
0,80095193,Conrad Helten
0,70246439,Ezekiel Norton
0,80158155,Conrad Helten
1,80158155,Ezekiel Norton
2,80158155,Michael Goguen
0,80063617,Alê Abreu
0,80202503,Carlos Therón
0,80147971,Francesco Carrozzini
0,70257412,Noah Baumbach
0,80172937,Vlad Yudin
0,80118280,Karen J. Lloyd
0,80135360,Benjamin Turner
1,80135360,Gabe Turner
0,70286355,Steve Race
0,80150246,Brett Harvey
0,80017272,Roger Allers
1,80017272,Gaëtan Brizzi
2,80017272,Paul Brizzi
3,80017272,Joan C. Gratz
4,80017272,Mohammed Saeed Harib
5,80017272,Tomm Moore
6,80017272,Nina Paley
7,80017272,Bill Plympton
8,80017272,Joann Sfar
9,80017272,Michael Socha
0,80075828,Keiichi Hara
0,80095089,William Lau
0,80208176,Audu Paden
1,80208176,Eric Radomski
0,80116741,Claude Barras
