,title_id,title,date_added,release_year,rating,duration,description
130,81176200,Manmadhudu 2,09/23/2019,2019,TV-MA,152,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop."
132,80208906,Under the Eiffel Tower,09/23/2019,2018,TV-MA,87,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.
133,80097321,Audrie & Daisy,09/23/2016,2016,TV-14,99,"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities."
134,80106966,Iliza Shlesinger: Confirmed Kills,09/23/2016,2016,TV-MA,78,"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all."
136,81080769,Do Paise Ki Dhoop Chaar Aane Ki Baarish,09/22/2019,2009,TV-14,121,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family."
137,70267838,20 Feet From Stardom,09/22/2018,2013,PG-13,91,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support."
138,80211380,In Darkness,09/22/2018,2018,TV-MA,101,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes."
139,80196586,Gaga: Five Foot Two,09/22/2017,2017,TV-MA,101,"Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles."
140,80099204,The Bad Batch,09/22/2017,2016,R,119,"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals."
141,80059432,SMOSH: The Movie,09/22/2015,2015,PG-13,83,"To keep his teen crush from spotting him in an embarrassing YouTube video, Anthony and his friend Ian must enter the virtual world and alter the clip."
142,81172721,King of Boys,09/21/2019,2018,TV-MA,182,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
143,81172727,Merry Men: The Real Yoruba Demons,09/21/2019,2018,TV-MA,106,"Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities."
144,70153543,Sarah's Key,09/21/2019,2010,PG-13,102,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him."
145,81172728,The Wedding Party 2: Destination Dubai,09/21/2019,2017,TV-14,98,"In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events."
151,80102952,Quincy,09/21/2018,2018,TV-MA,124,"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career."
152,80214464,Rafinha Bastos: Ultimatum,09/21/2018,2018,TV-MA,63,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again."
154,80243600,Between Two Ferns: The Movie,09/20/2019,2019,TV-MA,83,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show."
159,81122669,Daddy Issues,09/20/2019,2019,TV-MA,82,"Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well."
162,81132439,Travel Mates 2,09/20/2019,2018,TV-14,111,"When struggling singer Onur decides to return to his old job, incurable klutz Şeref organizes a surprise tour full of pitfalls and mishaps."
163,81035117,True: Tricky Treat Day,09/20/2019,2019,TV-Y,24,It's up to True and her friends to save the day when a hungry Yeti sneaks a forbidden treat and fills the kingdom with Howling Greenies.
165,80150502,Mad World,09/20/2018,2016,TV-MA,102,"A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat, where old resentments bubble to the surface."
167,80997866,The Bund,09/20/2018,1983,TV-14,103,"After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate."
168,80119815,The First Line,09/20/2016,2014,TV-14,87,Two determined Athenian attorneys spearhead a lawsuit against the British Museum for the return of the Parthenon Marbles to Greece.
169,80993149,Maynard,09/02/2018,2017,TV-PG,100,"Friends, family and political titans recall the impact of Atlanta's Maynard Jackson, the first African-American mayor of a major Southern city."
171,80203776,Bitcoin Heist,09/02/2017,2016,TV-14,116,"A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost."""
172,80143797,I Am Not Madame Bovary,09/02/2017,2016,TV-14,139,"To qualify for an apartment reserved for singles, a married couple stages a divorce. But when her husband unexpectedly remarries, Li seeks justice."
173,80161931,Vincent N Roxxy,09/02/2017,2016,R,101,"In rural Louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them."
176,80017275,Miss Julie,09/02/2015,2014,PG-13,130,"On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook."
177,81107545,Kabir Singh,09/19/2019,2019,TV-MA,171,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends."
178,70118953,Océans,09/19/2019,2009,G,84,This documentary examines the vital role water plays in human existence and the cause-and-effect interplay between oceans and the environment.
179,80190449,The Endless,09/19/2018,2017,TV-MA,112,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began."
181,80163156,Jerry Before Seinfeld,09/19/2017,2017,TV-14,62,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy."
183,80131281,"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense",09/19/2016,2016,TV-MA,65,"Charismatic comedy pals Karol Modzelewski and Łukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy."
184,80131374,"Katarzyna Piasecka, Rafał Pacześ Seriously Funny",09/19/2016,2016,TV-MA,65,Polish comedians Rafał Pacześ and Katarzyna Piasecka hit the stage at Warsaw's Klub Hybrydy for a night of funny anecdotes and sly jokes.
185,80131436,"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",09/19/2016,2016,TV-MA,69,"Comedians Mariusz Kałamaga, Karol Kopiec and Wiolka Walaszczyk deliver an eclectic and energetic stand-up show at Klub Hybrydy in Warsaw."
186,80131376,"Rafał Banaś, Michał Leja Laugh out Loud",09/19/2016,2016,TV-MA,64,Young Polish comedians Rafał Banaś and Michał Leja present a high-energy stand-up show at Warsaw's Klub Hybrydy.
187,80131435,The Best of Rafał Rutkowski Olka Szczęśniak,09/19/2016,2016,TV-MA,63,"""Recipe for Life"" star Rafał Rutkowski and Comedy Lab's Olka Szczęśniak serve up humorous impressions and wry wit at Warsaw's Klub Hybrydy."
188,80131375,"Tomasz Jachimek, Jacek Stramik Laugh at Live",09/19/2016,2016,TV-MA,63,"Writer, actor and satirist Tomasz Jachimek teams up with comedian Jacek Stramik for a night of subversive stand-up at Klub Hybrydy in Warsaw."
