,title_id,country
0,70287957,United States
0,81113890,India
0,81168345,Poland
0,60020892,United States
0,81164752,Netherlands
0,81113886,India
0,60028097,United States
0,70065112,United States
1,70065112,Canada
0,70083108,United States
0,70184050,United States
0,81168347,"Poland,"
0,81003460,United States
0,81113887,India
0,81168348,Poland
0,70095135,United States
1,70095135,United Kingdom
2,70095135,Australia
0,81191254,India
0,81168340,Poland
1,81168340,West Germany
0,60023597,United States
0,81036448,South Korea
0,81002876,United States
0,70058017,United States
0,70058024,United States
0,70011211,United States
0,70271599,United States
0,70020699,United States
0,60003540,Germany
1,60003540,United States
0,1181550,United States
0,70170051,United Kingdom
1,70170051,France
2,70170051,United States
0,80987077,South Korea
0,70021630,United States
0,81043753,Peru
0,60001761,United Kingdom
1,60001761,United States
0,70041963,United States
0,70058025,United States
0,70128696,United States
0,70077542,United States
0,81168342,Poland
0,81165772,Nigeria
0,510854,United States
0,60000921,United States
0,80188730,South Korea
0,81167083,South Korea
0,81168343,Poland
0,70044605,United States
0,18021979,United States
0,81168344,Poland
0,70020750,United States
0,70105596,United States
0,60037022,United Kingdom
0,60034571,United States
1,60034571,Malta
2,60034571,United Kingdom
0,81167047,South Korea
0,70053456,United States
0,80173150,United States
0,81168341,Poland
0,81168346,Poland
0,80137461,India
0,81012857,Canada
0,70123116,India
0,80190101,India
0,81024712,India
0,70112494,United States
0,80215922,United States
1,80215922,Sweden
0,81012415,United Kingdom
0,70113306,India
0,70113305,India
0,80032472,India
0,70181653,India
0,80048200,United States
0,80032474,India
0,80032476,India
0,70127589,India
0,80225696,United States
0,80104130,India
0,80032473,India
0,70090035,India
0,81024713,India
0,70117268,India
0,70211216,United States
0,70140322,United States
0,81024696,India
0,70303428,India
0,70125882,India
0,70101039,India
0,70123121,India
0,80152182,India
0,70229042,India
0,70042756,India
0,80187618,India
0,81024704,India
0,80221498,Australia
0,70229047,India
0,70229555,India
0,70213515,India
0,81018563,United States
0,81018565,United States
1,81018565,Canada
0,70114948,United States
0,80190103,India
0,81024729,India
0,81012427,United Kingdom
1,81012427,United States
0,80032477,India
0,81024711,India
0,81025908,India
1,81025908,United States
0,70303495,India
0,70303429,India
0,80084768,India
0,70096752,India
0,70229046,India
0,80084767,India
0,81024701,India
0,81031355,United States
0,70229048,India
0,70292836,India
0,80240397,United Kingdom
0,80141767,India
0,70139542,India
0,70039175,United States
1,70039175,United Kingdom
2,70039175,Germany
0,70225597,India
0,70123119,India
0,70150437,India
1,70150437,Australia
0,80084667,India
0,70099118,United States
0,81024705,Pakistan
0,80198771,South Korea
0,80062096,France
1,80062096,Canada
2,80062096,Belgium
0,70291096,United States
0,70130483,United States
0,80031038,United States
0,80065930,United States
0,80112370,United States
0,70165189,United States
0,70197459,United States
1,70197459,Canada
0,80095193,United States
1,80095193,Canada
0,70246439,United States
0,80158155,United States
0,80202539,Japan
0,80063617,Brazil
0,80204252,United Kingdom
0,80191075,United States
1,80191075,Canada
0,80202503,Spain
0,80147971,United States
1,80147971,Italy
0,70257412,United States
1,70257412,Brazil
0,80172937,United States
0,80118280,Canada
0,80204402,United Kingdom
0,80135360,United Kingdom
0,70286355,United States
0,80150246,Canada
1,80150246,Ireland
2,80150246,United States
0,80017272,United States
1,80017272,France
2,80017272,Canada
3,80017272,Lebanon
4,80017272,Qatar
0,80075828,Japan
0,80095089,United States
0,80208176,United States
0,80116741,Switzerland
1,80116741,France
0,80204400,United Kingdom
0,80063290,France
1,80063290,Belgium
0,80187223,France
1,80187223,United Kingdom
0,80002999,Australia
0,80162195,New Zealand
0,80106036,Norway
1,80106036,Germany
0,80198687,South Korea
0,80163353,United Kingdom
1,80163353,Canada
2,80163353,Japan
0,80162246,Mexico
0,80112371,United States
0,80189209,Taiwan
0,80208413,India
0,80111818,Taiwan
0,80116939,Taiwan
0,80094453,Brazil
0,80128338,United Kingdom
0,80111650,Taiwan
0,70153553,India
0,80111554,Taiwan
0,80097248,United States
1,80097248,Russia
0,80098709,Chile
1,80098709,United States
2,80098709,France
0,80111556,Taiwan
0,80092849,Spain
0,80107372,United States
1,80107372,Canada
0,80138584,United States
0,80106138,Netherlands
0,70205018,United States
1,70205018,Japan
0,80111683,Taiwan
0,80038288,India
0,80109089,United States
0,80061797,Italy
0,80111845,Taiwan
0,80048100,France
0,70206821,United States
